"freq","sex","unit","geo","Y2013","Y2022","annual_growth"
"A","F","PC_EMP","AT",4.1,4.2,1.00241266095148
"A","F","PC_EMP","BE",3.5,4.3,1.02079854210676
"A","F","PC_EMP","BG",3.2,3.3,1.00308190520155
"A","F","PC_EMP","CH",5.4,5,0.992333435068203
"A","F","PC_EMP","CY",3.2,5,1.04563955259127
"A","F","PC_EMP","CZ",4.3,4.2,0.997649716510388
"A","F","PC_EMP","DE",4.2,4.2,1
"A","F","PC_EMP","DK",5,4.9,0.99798176864157
"A","F","PC_EMP","EE",6.5,5.1,0.976035652810642
"A","F","PC_EMP","EL",3.7,4.5,1.01976729357403
"A","F","PC_EMP","ES",3,3.5,1.01553449300235
"A","F","PC_EMP","EU27_2020",3.7,4.1,1.01031828553916
"A","F","PC_EMP","FI",5.3,5.3,1
"A","F","PC_EMP","FR",3.2,4,1.02256518256357
"A","F","PC_EMP","HR",3.3,3.3,1
"A","F","PC_EMP","HU",4.1,4,0.99753378485881
"A","F","PC_EMP","IE",3.9,3.2,0.980411816827696
"A","F","PC_EMP","IS",5.9,6.3,1.0065812903874
"A","F","PC_EMP","IT",3.6,3.8,1.00542136482688
"A","F","PC_EMP","LT",4.7,5,1.00620672274323
"A","F","PC_EMP","LU",5.8,5.8,1
"A","F","PC_EMP","LV",5.2,4.9,0.994075278747216
"A","F","PC_EMP","ME",5.3,NA,NA
"A","F","PC_EMP","MK",4.2,NA,NA
"A","F","PC_EMP","MT",3.8,4.1,1.00762753324918
"A","F","PC_EMP","NL",4.3,5.4,1.02303980173255
"A","F","PC_EMP","NO",4.4,4.6,1.00445507070849
"A","F","PC_EMP","PL",3.5,4.2,1.01839937614702
"A","F","PC_EMP","PT",2.7,3.9,1.03745694971638
"A","F","PC_EMP","RO",1.6,1.7,1.00608087609791
"A","F","PC_EMP","RS",3.8,3.7,0.997336728109847
"A","F","PC_EMP","SE",4.8,5.4,1.01184794091781
"A","F","PC_EMP","SI",5.2,5.2,1
"A","F","PC_EMP","SK",2.4,3,1.02256518256357
"A","F","PC_EMP","TR",3.5,NA,NA
"A","F","PC_EMP","UK",4,NA,NA
"A","F","THS_PER","AT",79.8,88.6,1.01051574113986
"A","F","THS_PER","BE",72.3,101.1,1.03409701815356
"A","F","THS_PER","BG",43.9,47.9,1.00875824942131
"A","F","THS_PER","CH",108.6,108.9,1.0002759002974
"A","F","THS_PER","CY",5.5,10.6,1.06781082093075
"A","F","THS_PER","CZ",92.9,95.2,1.00244862258924
"A","F","THS_PER","DE",768.9,834,1.00816036376481
"A","F","THS_PER","DK",62.8,69.5,1.01018872305674
"A","F","THS_PER","EE",20.1,17.2,0.984539713343798
"A","F","THS_PER","EL",52.9,79.1,1.0410511809385
"A","F","THS_PER","ES",231.3,331.8,1.03674052488184
"A","F","THS_PER","EU27_2020",3094.2,3804.4,1.02087784552563
"A","F","THS_PER","FI",63.1,68.1,1.00765479363368
"A","F","THS_PER","FR",397.3,560.1,1.03493887565946
"A","F","THS_PER","HR",23.4,26.2,1.01136645158562
"A","F","THS_PER","HU",73.1,87.7,1.01837615444438
"A","F","THS_PER","IE",35,38.1,1.00852273552951
"A","F","THS_PER","IS",4.9,6.2,1.02381045679042
"A","F","THS_PER","IT",329.9,371.8,1.01202841618503
"A","F","THS_PER","LT",30.7,36.2,1.01661618480055
"A","F","THS_PER","LU",6.1,8.5,1.03373425804661
"A","F","THS_PER","LV",23.6,22.3,0.994350018166852
